# Timestamp KF, Num CovKFs, Num KFs, Num RecentMPs, Num MPs, processKF, MPCulling, CreateMP, SearchNeigh, BA, KFCulling, [numFixKF_LBA]
46657810000,9,190,1302,15379,19.766231,0.691745,97.200565,64.230543,189.109287,1.972839,16
46969180000,10,191,1425,15566,25.192233,1.089213,79.783586,53.902625,103.429764,10.195791,16
47280390000,10,192,1489,15755,18.585754,0.938452,67.533408,45.744646,110.490517,1.638801,16
47591510000,11,193,1497,15818,17.538694,1.077935,65.464737,45.995340,93.699850,1.545552,16
47902330000,12,194,1454,15887,16.508823,0.915872,57.270704,45.338360,118.699483,1.835999,16
48213880000,13,195,1410,15873,16.485159,1.048546,60.429649,44.296848,118.142248,1.778185,16
48524140000,13,196,1309,15861,16.132214,1.015001,49.791452,45.844492,110.315988,1.608645,17
48835360000,13,197,1370,15990,16.165900,0.934592,49.599930,52.265439,110.030424,1.767705,13
49146090000,14,198,1250,15983,15.721239,1.015947,47.005184,42.162426,130.569852,1.904799,13
49353850000,15,199,1076,15871,17.272613,0.819405,47.138287,38.943520,118.691059,1.967997,13
49560950000,12,200,990,15854,15.677211,0.606232,45.455673,41.221389,125.036132,2.126413,9
49768340000,2,201,984,16201,20.677321,0.506904,60.085050,29.708818,0.000000,0.000000,0
49872030000,2,202,980,16241,19.940462,0.567281,80.777473,32.410993,0.000000,0.000000,0
49975760000,2,203,946,16424,17.970737,0.406549,81.168721,0.000197,0.000000,0.000000,0
50079370000,12,204,1070,16448,17.165171,0.403382,86.835125,37.708543,0.000000,0.000000,0
50183130000,12,205,978,16276,29.319918,0.427276,60.920178,48.313582,125.397011,2.396860,13
50390360000,18,206,1136,16469,24.246016,0.465647,64.359724,56.443635,236.080859,2.239996,9
50701310000,12,207,1136,16659,22.822162,0.702687,49.210194,63.947837,230.690262,6.562606,15
51012410000,3,208,944,16599,46.298157,2.748936,46.125708,55.537160,14.774290,1.567585,24
51219640000,14,209,1040,16686,23.705531,0.454675,52.086008,55.999634,108.498844,2.357485,15
51427120000,12,210,993,16664,19.882094,0.532182,53.460163,46.962704,109.359290,2.327310,17
51634350000,15,211,986,16741,18.399713,0.545174,51.083168,53.429815,168.793905,2.442397,15
51841860000,10,212,1060,16889,23.212266,0.496863,51.029263,57.124799,91.857529,2.452999,21
52049190000,12,213,1052,16914,20.387361,0.540034,62.435722,51.781330,111.757407,2.317031,20
52256550000,13,214,1119,17074,39.193280,0.845655,82.797884,82.952467,22.889034,2.710233,20
52463930000,10,215,1224,17147,26.270273,0.518810,69.725028,54.257908,70.454367,13.248994,24
52671390000,10,216,1186,17183,28.449029,1.440645,92.738269,85.531925,24.840907,2.707959,25
52878630000,3,217,976,17424,20.759589,0.647975,87.632683,0.000120,0.000000,0.000000,0
52982360000,3,218,962,17478,24.918865,0.779281,81.352550,0.000134,0.000000,0.000000,0
53085970000,3,219,947,17553,22.869597,0.688984,79.764487,0.000090,0.000000,0.000000,0
53189580000,3,220,893,17725,26.792269,0.509108,77.108983,0.000119,0.000000,0.000000,0
53293220000,3,221,932,17921,23.101125,0.553729,79.281075,0.000119,0.000000,0.000000,0
